unique_id,ds,y
train_occupancy,1999-01-01,43.7
train_occupancy,1999-02-01,41.0
train_occupancy,1999-03-01,36.5
train_occupancy,1999-04-01,32.8
train_occupancy,1999-05-01,24.5
train_occupancy,1999-06-01,24.1
train_occupancy,1999-07-01,26.0
train_occupancy,1999-08-01,26.2
train_occupancy,1999-09-01,30.7
train_occupancy,1999-10-01,29.9
train_occupancy,1999-11-01,35.2
train_occupancy,1999-12-01,33.8
train_occupancy,2000-01-01,44.1
train_occupancy,2000-02-01,41.8
train_occupancy,2000-03-01,36.9
train_occupancy,2000-04-01,34.3
train_occupancy,2000-05-01,25.1
train_occupancy,2000-06-01,23.5
train_occupancy,2000-07-01,26.9
train_occupancy,2000-08-01,26.9
train_occupancy,2000-09-01,28.3
train_occupancy,2000-10-01,31.5
train_occupancy,2000-11-01,36.5
train_occupancy,2000-12-01,37.5
train_occupancy,2001-01-01,47.7
train_occupancy,2001-02-01,44.8
train_occupancy,2001-03-01,40.8
train_occupancy,2001-04-01,34.6
train_occupancy,2001-05-01,27.1
train_occupancy,2001-06-01,25.3
train_occupancy,2001-07-01,28.9
train_occupancy,2001-08-01,29.2
train_occupancy,2001-09-01,30.5
train_occupancy,2001-10-01,32.8
train_occupancy,2001-11-01,36.2
train_occupancy,2001-12-01,37.8
train_occupancy,2002-01-01,48.1
train_occupancy,2002-02-01,46.6
train_occupancy,2002-03-01,45.1
train_occupancy,2002-04-01,36.5
train_occupancy,2002-05-01,28.7
train_occupancy,2002-06-01,26.7
train_occupancy,2002-07-01,30.6
train_occupancy,2002-08-01,29.8
train_occupancy,2002-09-01,31.7
train_occupancy,2002-10-01,35.0
train_occupancy,2002-11-01,39.9
train_occupancy,2002-12-01,40.3
train_occupancy,2003-01-01,48.8
train_occupancy,2003-02-01,48.8
train_occupancy,2003-03-01,44.0
train_occupancy,2003-04-01,39.6
train_occupancy,2003-05-01,29.4
train_occupancy,2003-06-01,26.6
train_occupancy,2003-07-01,31.3
train_occupancy,2003-08-01,29.9
train_occupancy,2003-09-01,32.8
train_occupancy,2003-10-01,35.2
train_occupancy,2003-11-01,40.0
train_occupancy,2003-12-01,42.1
train_occupancy,2004-01-01,50.4
train_occupancy,2004-02-01,48.9
train_occupancy,2004-03-01,45.3
train_occupancy,2004-04-01,39.5
train_occupancy,2004-05-01,30.1
train_occupancy,2004-06-01,29.0
train_occupancy,2004-07-01,32.5
train_occupancy,2004-08-01,30.8
train_occupancy,2004-09-01,32.9
train_occupancy,2004-10-01,34.2
train_occupancy,2004-11-01,41.0
train_occupancy,2004-12-01,40.8
train_occupancy,2005-01-01,50.9
train_occupancy,2005-02-01,49.7
train_occupancy,2005-03-01,46.4
train_occupancy,2005-04-01,38.1
train_occupancy,2005-05-01,29.0
train_occupancy,2005-06-01,29.6
train_occupancy,2005-07-01,31.6
train_occupancy,2005-08-01,29.7
train_occupancy,2005-09-01,32.1
train_occupancy,2005-10-01,33.3
train_occupancy,2005-11-01,39.1
train_occupancy,2005-12-01,38.8
train_occupancy,2006-01-01,48.8
train_occupancy,2006-02-01,48.7
train_occupancy,2006-03-01,44.1
train_occupancy,2006-04-01,37.7
train_occupancy,2006-05-01,29.2
train_occupancy,2006-06-01,27.6
train_occupancy,2006-07-01,30.7
train_occupancy,2006-08-01,30.7
train_occupancy,2006-09-01,32.9
train_occupancy,2006-10-01,34.8
train_occupancy,2006-11-01,41.0
train_occupancy,2006-12-01,40.4
train_occupancy,2007-01-01,51.1
train_occupancy,2007-02-01,51.6
train_occupancy,2007-03-01,46.9
train_occupancy,2007-04-01,38.5
train_occupancy,2007-05-01,30.8
train_occupancy,2007-06-01,28.8
train_occupancy,2007-07-01,31.7
train_occupancy,2007-08-01,31.4
train_occupancy,2007-09-01,33.4
train_occupancy,2007-10-01,33.7
train_occupancy,2007-11-01,40.5
train_occupancy,2007-12-01,40.1
train_occupancy,2008-01-01,50.8
train_occupancy,2008-02-01,50.8
train_occupancy,2008-03-01,47.6
train_occupancy,2008-04-01,38.3
train_occupancy,2008-05-01,30.8
train_occupancy,2008-06-01,27.5
train_occupancy,2008-07-01,31.3
train_occupancy,2008-08-01,30.5
train_occupancy,2008-09-01,32.1
train_occupancy,2008-10-01,34.4
train_occupancy,2008-11-01,38.2
train_occupancy,2008-12-01,38.4
train_occupancy,2009-01-01,48.3
train_occupancy,2009-02-01,48.2
train_occupancy,2009-03-01,43.6
train_occupancy,2009-04-01,37.8
train_occupancy,2009-05-01,30.0
train_occupancy,2009-06-01,25.4
train_occupancy,2009-07-01,30.4
train_occupancy,2009-08-01,29.1
train_occupancy,2009-09-01,31.6
train_occupancy,2009-10-01,33.4
train_occupancy,2009-11-01,37.8
train_occupancy,2009-12-01,39.6
train_occupancy,2010-01-01,49.5
train_occupancy,2010-02-01,48.5
train_occupancy,2010-03-01,43.7
train_occupancy,2010-04-01,37.3
train_occupancy,2010-05-01,28.1
train_occupancy,2010-06-01,26.9
train_occupancy,2010-07-01,30.5
train_occupancy,2010-08-01,29.1
train_occupancy,2010-09-01,31.6
train_occupancy,2010-10-01,33.4
train_occupancy,2010-11-01,38.9
train_occupancy,2010-12-01,39.0
train_occupancy,2011-01-01,48.9
train_occupancy,2011-02-01,47.8
train_occupancy,2011-03-01,42.6
train_occupancy,2011-04-01,37.7
train_occupancy,2011-05-01,29.6
train_occupancy,2011-06-01,27.6
